Título,Hora,Fecha,Autor,Texto Completo,Categoría
Cómo limpiar los cristales de las ventanas por fuera y sin dejar marcas,17:09h,15.03.2022,"
20minutos
 ","Mantener las ventanas de nuestro hogar limpias es fundamental para que entren los rayos de luz del sol correctamente y para tener una mejor visibilidad. Sin embargo, la limpieza de los cristales suele ser una de las tareas domésticas más complicadas para evitar que queden manchas y para que el resultado sea reluciente.
Más todavía si se trata de las ventanas que dan al exterior. ¿Cómo se deben limpiar para que sea más sencillo? En primer lugar, dependiendo del tipo de ventana, necesitarás unas u otras herramientas, aunque generalmente lo más recomendado es emplear una toalla o bayeta de microfibra y una mezcla de agua, líquido para lavavajillas y vinagre blanco, que suele aportar brillo.
Lo más importante es que la bayeta que utilices no suelte pelusas, aunque también puedes optar por una esponja si la ventana es muy grande o por papel, que facilita el secado de los cristales.
Resulta recomendable hacer la limpieza cuando no haga demasiado sol, porque no quedarán del todo limpios. Asimismo, es aconsejable limpiar de arriba hacia abajo, y procurar hacerlo siempre en la misma dirección para evitar que queden manchas. También se recomienda sacar el cristal del marco para limpiarlos de manera más cómoda, por dentro y por fuera, siempre que sea posible.
Otro truco casero para que las ventanas queden brillantes y completamente limpias es hacer un producto casero a base de agua caliente, vinagre y unas gotas de limón. En el caso de que haya mucho polvo y suciedad, se aconseja emplear una mezcla de agua tibia con amoniaco.",vivienda
Convocadas 2.344 plazas de personal fijo en la Administración General del Estado: lo que debes saber si vas a presentarte,12:35h,31.03.2022,EP,"El Boletín Oficial del Estado (BOE) ha publicado este miércoles la convocatoria de los procesos selectivos para 2.344 plazas de personal laboral fijo en la Administración General del Estado (AGE), con 15 procesos selectivos de acceso libre y promoción interna, más la convocatoria dirigida a personas con discapacidad intelectual.
La convocatoria de estos procesos selectivos contempla 1.600 plazas por el turno de acceso libre, 510 por el turno de promoción interna y 234 reservadas a personas que acrediten discapacidad intelectual en los Ministerios de Agricultura, pesca y Alimentación, Exteriores, Unión Europea y Cooperación, Ciencia e Innovación, Defensa, Justicia y Política Territorial.
Todas las convocatorias aparecen publicadas en el BOE, a excepción de las plazas para el Ministerio de Ciencia e Innovación, que saldrán el 1 de abril. El plazo de presentación de solicitudes es de 20 días hábiles contados a partir del día siguiente de su publicación y se podrá acceder desde la web del Ministerio de Hacienda y Función Pública y desde las páginas de los ministerios que gestionan las convocatorias.
Los aspirantes tendrán que cumplimentar el modelo oficial de solicitud 790, disponible en la web de la Administración. Las plazas convocadas van desde el M3, que exige la titulación de Licenciatura o Máster, hasta el M1, que solo requiere el título de formación profesional básica.
En la categoría M3 hay 152 vacantes convocadas, relacionadas con las especialidades de docencia, ciencias de la información y biología. En la categoría M2 se han convocado 223 plazas, la mayoría en las especialidades de enfermería, trabajo social, y conservación y restauración de bienes culturales.
El mayor número de plazas convocadas está en la categoría M2, con 876 vacantes, muchas de ellas relacionadas con las especialidades de mantenimiento aeromecánico, instalaciones y plantas potabilizadoras y sistemas de telecomunicaciones e informáticos; en tanto que para la categoría E2 se han convocado 764 plazas, para las que se exige el título de formación profesional de grado medio.
En la categoría E1 hay 95 plazas convocadas para las especialidades de instalaciones hidráulicas y plantas potabilizadoras, servicios comerciales y cocina y restauración. Para estas vacantes solo se requiere el título de formación profesional básico.
En la convocatoria de discapacidad intelectual se ofertan 234 plazas para el Grupo E0, de tareas complementarias de apoyo para servicios administrativos.",empleo
Sobrecualificados para trabajar: solo el 14% de las vacantes de Infojobs en 2021 pedían formación universitaria,13:09h,30.03.2022,"
20minutos
 ","En España siguen siendo muchos los candidatos sobrecualificados; es decir con más formación de la que pide (ofrece) el mercado laboral. De modo que continúa muy viva la brecha entre las capacidades de los profesionales y lo que demanda el mercado. El dato que lo señala indica que en 2021, sólo el 14% de las vacantes de Infojobs pedían formación universitaria.
Es una de las conclusiones del informe sobre el mercado laboral presentado este martes por este portal de empleo junto a Esade. En 2021 hubo 3.530.914¿Nichos de empleo en plena crisis? Hostelería, agricultura y construcción
20MINUTOS , EP  personas que se inscribieron en alguna oferta de Infojobs.
Esta cifra supone un ligero aumento (6.987 demandantes más) con respecto a 2020. A diferencia de las vacantes —mucho más expuestas a los vaivenes económicos de cada día—, la cifra de candidatos y candidatas es mucho más estable y, en todo caso, responde a una percepción más cíclica sobre el mercado laboral.
Respecto al nivel de estudios de la demanda, un 34% de los candidatos cuenta con formación universitaria, mientras que la Formación Profesional supone un 28% y los estudios básicos, un 18%. Son los tres grupos mayoritarios. En este punto, cabe destacar que solo el 14% de las vacantes publicadas el año pasado demandaba un nivel de formación universitaria, lo que supone una notable brecha en lo que se refiere a este colectivo.
Sin embargo, en el caso de la Formación Profesional, la diferencia es mucho más pequeña: frente a un 28% de candidatos/as con FP, el 23% de las vacantes demandan este nivel de estudios. En el caso de los estudios básicos y de las personas que no tienen estudios, la situación se revierte: hay más vacantes que solicitantes de estos niveles de formación.
""Esta brecha se debe a un problema de concordancia entre las capacidades de los profesionales con estudios universitarios y lo que el empleo obtenido requiere. La solución está en la reorientación del tejido productivo español hacia actividades de alto valor añadido que permitan desarrollar el potencial del capital humano con formación superior"", señala Mónica Pérez, directora de Comunicación y Estudios de InfoJobs.
Las cifras recogidas en el informe muestran que el portal registró 2.274.383 vacantes laborales en 2021, un 49% más que el año anterior. La profesora de Esade Law School y directora del Instituto de Estudios Laborales de Esade, Anna Ginès, explica que ""la aplicación de los ERTE y el arranque de la inversión de los fondos 'Next Generation' han favorecido el mercado de trabajo, con la creación de 840.000 nuevos puestos de trabajo y la caída de la tasa de paro al 13,3%"".
No obstante, no todos los sectores han remontado al mismo tiempo. Comercial y ventas presentaron un aumento de ofertas del 57%, hasta las 490.729. También se recuperaron otros sectores como compras, logística y almacén, que acumula una década al alza, atención al cliente, profesiones, artes y oficios e informática y telecomunicaciones.
Entre los sectores que se estancaron en 2021, el estudio señala la educación y formación, con una reducción del 3% en el número de vacantes, y el de sanidad y salud, con un decrecimiento del 2%, aunque las cifras se mantienen por encima de las de 2019.
El informe también alude al caso del turismo y la restauración. Este sector fue uno de los más afectados por la pandemia, con una pérdida del 76% de las vacantes en 2020. El año pasado, el número de ofertas creció un 110% en comparación con el año de la pandemia, pero si se toma como referencia el 2019, las cifras siguen un 49% por debajo.
El trabajo de Infojobs y Esade muestra que este sector continúa sin mostrar una recuperación plena. De hecho, a finales de diciembre de 2021 los servicios de comida y bebidas contaban con 20.242 personas en ERTE.",empleo
Los detalles del nuevo contrato laboral creado para artistas y auxiliares del sector cultural,13:13h,29.03.2022,"
20minutos
 EP","El Consejo de Ministros aprobó la semana pasada el nuevo régimen de la relación laboral de las personas dedicadas a las actividades artísticas. El Real Decreto-ley incluye un nuevo régimen de contratación con una modalidad específica: el contrato laboral artístico. Todo ello dentro del nuevo Estatuto del Artista en el que han trabajado una comisión interministerial del Ministerio de Cultura, el de Trabajo y Economía Social y el de Inclusión, Seguridad Social y Migraciones.
El nuevo contrato será de duración determinada para ""atender a las necesidades específicas de un sector que se caracteriza por la temporalidad y la intermitencia de su actividad"". El Real Decreto-ley también engloba a las actividades técnicas y auxiliares necesarias para el desarrollo de la actividad artística.
Además del nuevo contrato, el texto incorpora la relación laboral especial de las actividades técnicas y auxiliares, reconociendo los derechos de un colectivo especialmente afectado por la contratación fraudulenta como falsos autónomos.
Dice el Ministerio de Cultura que el nuevo modelo de contratación va a permitir modernizar y ampliar el concepto de actividad artística haciendo referencia a las actividades culturales 'en el ámbito de las artes escénicas, audiovisuales y musicales', eliminando ""el viejo concepto"" de 'artistas en espectáculos públicos'.
También se adapta la legislación a la producción de expresiones artísticas en el entorno web y las nuevas fórmulas de difusión como el streaming, la difusión online o el podcast. Asimismo, se mejora el régimen indemnizatorio de estos contratos, ya que esta cuantía se incrementa a 20 días cuando la duración del contrato exceda de 18 meses.
En el ámbito de la Seguridad Social, se establece que los profesionales de la cultura quedarán exentos del desincentivo incluido en la reforma laboral para los contratos que duran menos de 30 días, debido al carácter más intermitente de las actividades artística, técnicas y auxiliares en las artes escénicas, la actividad audiovisual y la música.
Por último, el nuevo texto prevé combatir la precariedad y la concatenación de contratos de temporada e impulsar su transformación en indefinidos o de tipo fijo discontinuo adaptados a la realidad de la actividad profesional que se desempeñe.",empleo
"Alfabetización en datos, una habilidad que va a ser muy demandada por el mercado laboral en los próximos años",14:02h,28.03.2022,"
20minutos
 ","La realidad es una matriz de datos y puede entenderse analizando esos datos. Por eso los datos son el negocio de este inicio del siglo XXI y por eso su análisis es tan importante para las empresas. Sin llegar a ser un experto cada vez conviene más que todos nos vayamos familiarizando con su tratamiento.
En esa línea, ya se habla de alfabetización en datos (entendida como la capacidad de leer, trabajar, analizar y comunicarse con datos). Va a ser una de las habilidades más demandadas por el mercado laboral en los próximos años.
Según el informe Data Literacy: The Upskilling Evolution, elaborado por Qlik en colaboración con The Future Labs, la alfabetización en datos será la habilidad más demandada en 2030. Ello se explica por el auge de la Inteligencia Artificial (IA). El estudio muestra que el 85% de los 1.200 directivos encuestados creen que este dominio mínimo de los datos será una habilidad tan esencial en el futuro como lo es hoy saber utilizar un ordenador.
Los resultados del estudio de esta compañía de análisis, gestión e integración de datos, revelan cómo el rápido crecimiento del uso de los datos está ampliando las aspiraciones de las empresas en cuanto a su potencial y, a su vez, transformando las prácticas de trabajo. Las organizaciones van pasando del consumo pasivo de datos a un estado de inteligencia activa, en la que los datos se integran de manera continua en las prácticas de trabajo para la toma de decisiones. Y todo ello afectará a los requisitos de habilidades y oportunidades profesionales.
""La alfabetización en datos será fundamental para ampliar la colaboración en el lugar de trabajo más allá de la relación entre los humanos, para que así los empleados aumenten la inteligencia de las máquinas con creatividad y pensamiento crítico"", asegura Elif Tutuk, vicepresidenta de Innovation & Design de Qlik.
Los empleados encuestados -más de 6.000 en todo el mundo- afirman que el uso de los datos y su importancia en la toma de decisiones se ha duplicado en el último año. Mientras, el 89% de los directivos espera que todos los miembros del equipo sean capaces a partir de ahora de explicar cómo los datos han sido la base de su toma de decisiones informadas.
La demanda de competencias en materia de datos refleja el importante cambio que se está produciendo en muchos puestos de trabajo, debido al auge de la IA. Los directivos que participaron en el estudio creen que las prácticas de trabajo de los empleados cambiarán para ser más colaborativas, gracias a unas herramientas inteligentes que les ayudarán a tomar mejores decisiones (84%) y a ser más productivos (83%).
Y sin embargo, apenas 1 de cada 5 empleados cree que su empresa les está preparando para un entorno laboral más orientado a los datos y a la automatización (concretamente, el 21%), según el estudio de Qlik.
El cambio hacia un entorno laboral más orientado a los datos es una oportunidad para aquellos con conocimientos en la materia. Todos los directivos encuestados afirmaron que estarían dispuestos a ofrecer un aumento salarial a los candidatos que pudieran demostrar sus conocimientos de datos. De media, este aumento sería del 26%. Por ejemplo, para el empleado medio español, esto se traduce en un incremento de más de 6.300 € sobre su salario anual.",empleo
Cuatro habilidades blandas ('soft skills') que pueden hacer que tu currículum destaque,15:08h,25.03.2022,"
20minutos
 ","En el actual contexto siguen siendo importantes las habilidades y conocimientos técnicos, pero, al tiempo, las empresas dan más importancia a cosas como la capacidad de adaptación, la creatividad, la persuasión o la comunicación. Son las habilidades blandas (soft skills en inglés).
En un mundo laboral cada vez más automatizado, digital y dinámico, las habilidades blandas se han convertido en valores diferenciales en cualquier candidato. Según el informe de ‘Tendencias de aprendizaje en el entorno laboral en 2022’ de Udemy Business, estas habilidades se están posicionando ya como habilidades de poder (power skills).
Según este documento, las habilidades de poder se definen como aquellas que empoderan a los empleados en el trabajo y les dotan de confianza para colaborar, comunicar y liderar de forma eficaz. Para Melissa Daimler, directora de aprendizaje de Udemy, “las habilidades de poder se han vuelto más necesarias a medida que los trabajadores de todo el mundo asumen los cambios de los últimos años"".
Estas serían las cuatro habilidades blandas (o de poder) que más han crecido en el último año según este informe y que, si las tienes, pueden hacer que tu currículum destaque:
Los trabajadores continúan adaptándose a los cambios globales y a los nuevos modelos de trabajo (como el trabajo en remoto o híbrido). Asimismo, en cuanto a las habilidades de comunicación y trabajo en equipo que mayor crecimiento experimentaron en 2021 se encuentran la asertividad, la facilitación y el fomento del espíritu de equipo, entre otras.
Las habilidades de liderazgo y gestión son aplicables a todos los cargos de una empresa, no solo a los puestos directivos. De hecho, las empresas que ofrecen formación sobre liderazgo a todos los empleados tienen 4,2 veces más probabilidades de obtener mejores resultados en términos de crecimiento de ingresos, margen operativo y rentabilidad de los recursos propios. La formación de educación en diversidad e inclusión ha adquirido gran protagonismo en el entorno laboral.
Ante el gran número de empleados que siguen trabajando desde casa o con el modelo de trabajo híbrido, la productividad y la colaboración nunca habían sido tan importantes. Esta realidad se traslada al aumento del consumo de cursos relacionados con la productividad, siendo las habilidades informáticas y gestión del tiempo las habilidades que más crecen.
El informe de Udemy también revela una de las tendencias en auge en el entorno laboral, y es que el bienestar ya no es algo exclusivo del tiempo libre de los empleados. La vida personal y profesional, en muchas ocasiones, tienen una gran vinculación.",empleo
Emprender en España para una mujer es hoy más difícil que antes de la pandemia: las condiciones han empeorado,13:02h,24.03.2022,"
20minutos
 ","Ser mujer emprendedora en España es hoy más difícil que hace dos años. Desde que la pandemia lo cambiara todo, las condiciones para que una mujer emprenda un negocio o empresa han empeorado. Así, nuestro país baja posiciones en el Índice de Mujeres Emprendedoras de 2021 (MIWE2021), que realiza Mastercard. La tasa de emprendimiento femenino es del 4,8%, inferior a la de los hombres (5,6%).
España se sitúa en el puesto número 15 de este índice, bajando seis posiciones en comparación con la edición de 2020 (cuando ocupaba el 9º lugar). Este estudio analiza el progreso de las mujeres emprendedoras en 65 economías que representan alrededor del 82% de las mujeres trabajadoras del mundo. Los resultados de 2021 sitúan a nuestra economía por debajo del nivel de 2019, cuando España ocupaba la posición 11 del índice.
Entre las razones que explican el descenso de España, destaca la carencia de actitudes emprendedoras en las mujeres en nuestra economía, que se encuentra en la antepenúltima posición (63) de esta categoría en el ranking, cuando en 2020 estaba casi 10 puestos por encima (55).
Según los datos, los recursos financieros también son más escasos que un año antes. El acceso a la financiación, que había mejorado considerablemente el año pasado, ahora baja a niveles de 2019. Además, la valoración del apoyo del Gobierno a las pymes ha empeorado, bajando de la séptima posición de la lista que ocupaba en 2020 a la 18ª en la actualidad. El Índice muestra que las políticas gubernamentales que apoyan intencionadamente el emprendimiento femenino pueden contribuir significativamente a una recuperación más rápida y equilibrada.
Como consecuencia, los resultados de la tasa de actividad empresarial de las mujeres en España son inferiores que los del año pasado y del anterior. A pesar de esto, la tasa de mujeres activas en España está por encima de la media del resto de las economías analizadas. Mientras que España está en la posición 22 del ranking, Francia se sitúa en la 30, Portugal se encuentra en la 44 e Italia en la 64, la penúltima.
A pesar de la caída de España en los resultados generales del MIWE, esta economía se mantiene líder en formación. Es la novena en la lista en cuanto a educación, dato relevante que demuestra que las mujeres españolas pueden mejorar significativamente sus perspectivas económicas gracias a su elevado nivel formativo.
Asimismo, ocupa por tercer año consecutivo, la quinta posición en cuanto al número de mujeres con estudios superiores, que supera incluso a la de los hombres (98,5% de las mujeres frente al 82% de los hombres). Además, España ha escalado posiciones en inclusión financiera, subiendo de la 34 a la 32, y en liderazgo femenino, pasando de la 27 a la 25.
También entramos en la lista de las 10 economías más destacadas en cuanto al número de mujeres propietarias de empresas, situándose muy por encima de la media. España, en el puesto 9 del ranking, está por debajo de Portugal (6), pero muy por encima de otras economías cercanas como Italia (24) o Francia (32).
En España, mientras que un 34% de los hombres aspira a emprender su propio negocio, las mujeres con esta aspiración no llegan al 30%. La mayoría de las mujeres que crea una empresa lo hace por necesidad (74%) y destaca que a los hombres se les presentan más oportunidades para emprender (41%) que a las mujeres (27,6%).
La brecha de género es especialmente evidente al hablar de liderazgo. En esta economía solo el 33% de las empresas están dirigidas por mujeres. Del mismo modo, tres de cada 10 (un 30%) empresas en España son propiedad de mujeres.",empleo
"¿Nichos de empleo en plena crisis? Hostelería, agricultura y construcción",13:07h,23.03.2022,"
20minutos
 EP","En plena crisis, ahora la de la guerra (cuando no habíamos salido de la ocasionada por la pandemia), ¿hay en España nichos de empleo? ¿Hay sectores donde sean muchas las vacantes? Los hay. Al menos, hostelería, agricultura y construcción.
Es el Banco de España el que asegura que estos tres sectores sufren escasez de mano de obra por el descenso en los flujos migratorios a raíz del impacto de la pandemia de la Covid-19. La hostelería, la agricultura y la construcción son los sectores con mayor peso de ocupación extranjera, y por ello en los que se percibe en este momento una mayor escasez de mano de obra.
El informe 'Flujos migratorios en España durante la crisis del Covid-19 y su incidencia sobre la oferta laboral', publicado este martes, apunta a una relación positiva entre la escasez de mano de obra declarada por los empresarios a finales de 2021 y el peso del empleo extranjero en cada sector antes de la pandemia. El Banco de España lo ha redactado de acuerdo con la información procedente de la Encuesta sobre la Actividad Económica (EBAE).
Hostelería, agricultura y construcción son los sectores en los que los empresarios reportan una mayor percepción de escasez de trabajadores como factor limitante de su actividad en la actualidad. En la segunda mitad de 2021, mientras que la oferta laboral de los trabajadores nacionales había recuperado un nivel compatible con su tendencia precrisis, la población activa extranjera se situaba aún muy por debajo de dicha tendencia.
El Banco de España explica que en el conjunto de 2020 se produjo un descenso en el saldo migratorio de extranjeros del 48%, puesto que las entradas netas alcanzaron las 232.000 personas, frente a un saldo de 446.000 personas en 2019.
De acuerdo con la última información disponible, en el primer semestre de 2021 los flujos de salidas repuntaron de forma acusada, un 83%, mientras que los flujos de entradas continuaron reduciéndose, un 22,6%. De este modo, el saldo migratorio durante la primera mitad de 2021 fue prácticamente nulo, de apenas unas 8.400 personas.
En los últimos semestres las entradas de extranjeros procedentes de Europa han ganado peso de forma considerable y han pasado de representar el 27% del total en 2019 al 31% en 2020 y al 42% en el primer semestre de 2021.
De cara al futuro, los expertos del organismo que dirige Pablo Hernández de Cos apuntan a que, con un horizonte temporal amplio, cabría esperar una cierta recuperación de los flujos migratorios a medida que se relajen las restricciones a la movilidad y se materialice la demanda embalsada de migración que no se haya podido satisfacer durante la pandemia.
Desde un punto de vista sectorial, el Banco de España señala otros factores que también desempeñarán un papel muy importante para explicar el déficit de mano de obra en el futuro. En particular, estas tensiones podrían ser más acusadas en aquellos sectores cuya demanda relativa se viera más impulsada como consecuencia del despliegue de los proyectos de inversión vinculados al programa 'Next Generation EU (NGEU)'.
El organismo aprecia así una asociación positiva entre la percepción de escasez de mano de obra según la EBAE y el peso de cada sector en el reparto de los fondos NGEU.",empleo
La conciliación laboral no avanza: se estanca el porcentaje de trabajadores que tienen facilidades para disfrutarla,12:45h,22.03.2022,"
20minutos
 ","La conciliación laboral se estanca y sigue siendo un tema pendiente en España. El año pasado, solo el 40% indicaba tener facilidades para conciliar su vida laboral y familiar. Los resultados recogidos por una encuesta de Infojobs entre la población ocupada señalan que no se ha producido mejoría: únicamente el 41% de las personas trabajadoras afirma este 2022 que encuentra facilidades.
Como es de esperar, las mujeres tienen más dificultades que los hombres para conciliar: así, el 61% de ellas indica que le resulta difícil, frente al 56% de los hombres. De acuerdo con el Instituto Nacional de la Seguridad Social, en 2019, del total de 59.466 profesionales que interrumpieron su actividad laboral (excedencias), el 89% eran mujeres.
De acuerdo con los datos de la encuesta de esta empresa de RRHH, el 47% de las personas que tienen la posibilidad de teletrabajar declara encontrar facilidades para combinar su vida laboral y familiar, mientras que en el caso de quienes siguen trabajando desde la oficina, el porcentaje baja hasta el 39%.
Respecto a las medidas más útiles para conciliar señaladas por la población ocupada que tiene dificultades para alcanzarla, la flexibilidad horaria (53% de las menciones), la jornada intensiva (38%) y el teletrabajo (34%) se posicionan como las tres primeras. Les siguen las horas anuales remuneradas de asuntos particulares (28%) y la desconexión digital real (23%).
En este aspecto, las mujeres valoran mejor aquellas medidas de conciliación relacionadas con el cuidado de los hijos/as (las excedencias por el cuidado de los hijos/as y las zonas de guardería/lactancia dentro de la propia empresa). Dichas soluciones reciben, respectivamente, un 17% y 14% por parte de este colectivo, frente al 12% y 8% en el caso de los varones.
Por edades, las personas más jóvenes valoran más las medidas de desconexión digital (34%, once puntos porcentuales por encima de la media nacional); las de 25 a 34 prefieren poder cambiar el turno o día con sus compañeros/as (30%, ocho puntos porcentuales más que la media) así como tener excedencias por el cuidado de los hijos/as (18%, cuatro puntos porcentuales por encima).
Finalmente, las personas que teletrabajan consideran en general más útiles para conciliar todas estas medidas, especialmente el teletrabajo (55% de menciones frente al 28% de las que trabajan en la oficina). Sobresale también la desconexión digital real (35% de menciones frente al 20%) y la jornada intensiva (44% frente a 37%).
Según el documento de Infojobs, en lo que se refiere a las compañías, la flexibilidad horaria (62%), el teletrabajo (50%) y la jornada intensiva (42%) siguen siendo las medidas de conciliación laboral más implantadas. Sin embargo, en comparación con los datos del año pasado, la media que más peso ha ganado en las empresas es la desconexión digital real. En 2021, tan solo el 16% de las organizaciones tenía implantada esta solución, frente al 26% de este año.
Por tamaño de empresa, las de más de 50 trabajadores son las que más medidas de conciliación tienen implantadas: así, por ejemplo, casi 7 de cada 10 (67%) declaran aplicar la flexibilidad horaria, frente al 56% de las microempresas (de 1 a 9 empleados/as) y el 61% de las pequeñas (10 a 49 trabajadores). Por el contrario, las microempresas son las que disfrutan de una mayor desconexión digital real (31%, frente al 24% de las pequeñas organizaciones y el 23% de las medianas y grandes).",empleo
"Trabajamos más, fuera del horario y en fin de semana: la duración de la jornada ha aumentado en 46 minutos desde 2020",12:26h,21.03.2022,"
20minutos
 ","Al final resulta que sólo son poco más de millón y medio los españoles que teletrabajan habitualmente. Superada la crisis del coronavirus, las empresas españolas han vuelto a lo que solían: el presencialismo. Y si el trabajo en remoto deja de ser tendencia significa también que el trabajo híbrido tiene sus días contados.
Según el 'Índice de Tendencias Laborales' de Microsoft, el 50% de los directivos encuestados afirma que su empresa impondrá de nuevo el trabajo presencial durante el próximo año. Y eso que el 86% de los empleados consideran que son igual o más productivos trabajando en formato híbrido.
Desde la llegada del Covid-19, estamos trabajando más, mucho más. Según el estudio, la duración de la jornada laboral se ha incrementado también en 46 minutos. Además, el trabajo fuera del horario y en fin de semana ha crecido un 28% y un 14%, respectivamente.
En este contexto, el 49% se plantea cambiar a un trabajo en remoto o híbrido de cara al próximo año, frente al 52% global. Ante esta situación, la empresa de software recomienda en su informe que ""las oficinas tengan sentido"".
Al respecto, el 60% de los directivos en España cree que los comités directivos de sus empresas no están alineados con las expectativas de los empleados, frente al 54% mundial. Por otraLos jóvenes quieren cambiar de trabajo parte, el 79% asegura que no tiene la influencia o recursos suficientes para poder hacer cambios en su equipo con el fin de adaptarse a la nueva realidad híbrida, una cifra que a nivel mundial es del 74%.
El 54% de los empleados de la generación Z y los millennial de España están considerando un cambio de empleo durante el próximo año, porcentaje muy similar a nivel global con un 52%, debido a que los empleados tienen ""nuevas prioridades"", según el informe de Microsoft.
En el texto se señala que desde febrero de 2020 el usuario medio de Teams ha visto un aumento de un 252% en su tiempo de reuniones semanales, con un incremento del número de ellas de un 153%.
Los empleados han tomado medidas para controlar mejor el tiempo y evitar el agotamiento digital, lo que ha hecho que el solapamiento de reuniones se reduzca un 44% en el último año. Sin embargo, desde la compañía de Redmond se señala que las empresas deben recordar que el trabajo flexible no implica ""estar siempre conectado"".
Por otro lado, en el informe también se refleja que las relaciones sociales han cambiado con el nuevo modelo híbrido. Así, el 42% de los directivos españoles son conscientes de que la creación de relaciones representa ""un reto mayor"" al tener empleados que trabajan en entornos híbridos o remotos, un 43% a nivel global.",empleo
Empleo en el sector industrial: Adecco ofrece 600 vacantes en toda España,12:04h,18.03.2022,"
20minutos
 ","El sector industrial se recupera. Los últimos datos de la EPA revelan que en el último año se incrementó la ocupación en todos los sectores concentrándose el segundo mayor crecimiento en el sector de Industria, con 71.500 ocupados más. De hecho, las empresas de recursos humanos están teniendo problemas para cubrir muchas vacantes de este tipo.
El último informe sobre Perfiles deficitarios y escasez de talento en España del Grupo Adecco revela que los perfiles industriales son de los que más cuesta cubrir en nuestro país. Ahora, tras la pandemia, la implementación del concepto Industria 4.0 es una clara prioridad.
De hecho, la introducción de sus tecnologías está permitiendo combatir el coronavirus y la robótica; la visión artificial o el Big Data han permitido optimizar procesos, aportar soluciones en tiempo real y reducir costes en la industria. En este contexto, Adecco ofrece más de 600 nuevos puestos de trabajo en la Industria.
Esta empresa de RRHH seleccionará a más de 600 personas que quieran trabajar en este sector en España. Concretamente, perfiles relacionados con la producción y el mantenimiento como carretillero/a, técnico/a de mantenimiento, mecánico/a industrial, manipulador/a de alimentos, soldador/a y operario/a especializado/a.
También se necesitan otros perfiles técnicos y/o con titulación de Formación Profesional asociados al desarrollo de la Industria como electromecánicos/as, técnicos/as de laboratorio, ingenieros/as, técnicos/as de calidad, peones industriales, montadores/as, fresadores/as, y torneros/as, entre otros.
Las personas que quieran acceder a las ofertas deberán cumplir varios requisitos pues en algunos casos se precisan perfiles con experiencia en el manejo de maquinaria, en líneas de producción o realizando tareas de mantenimiento. Además, se buscan personas con inquietud por aprender, responsables, con capacidad de decisión y flexibles.
En caso de que lo requieran, Adecco ofrece a los seleccionados la posibilidad de certificarse y obtener el diploma de manipulador/a de alimentos o el carné de carretillero/a.",empleo
Al final son poco más de millón y medio de españoles los que teletrabajan habitualmente,12:48h,17.03.2022,"
20minutos
 EP","El teletrabajo ha vivido su propia montaña rusa a partir del inicio de la pandemia del Covid-19. Finalmente, el trabajo en remoto se ha consolidado en España en el 8%, un porcentaje que parece que, ahora sí, va a durar mucho.
Según datos del último informe del Observatorio Nacional de Tecnología y Sociedad (ONTSI), dependiente de la Secretaría de Estado de Digitalización e Inteligencia Artificial, el porcentaje de población ocupada que realizó su actividad laboral en remoto en España se consolidó en el último trimestre de 2021 en el 8%. De modo que 1,58 millones de personas teletrabajaron de manera habitual.
Mientras que este porcentaje no ha variado con respecto al tercer trimestre de 2021, el número de ocupados que realizó teletrabajo ocasional, menos de la mitad de la jornada semanal, repuntó hasta el 5,7%, sumando alrededor de 1,15 millones de personas que trabajaron a distancia de manera puntual.
Por género, las mujeres siguen optando más por el teletrabajo que los hombres, llegando incluso a crecer, del 8,3% al 8,6% de las ocupadas. Mientras, el porcentaje de hombres que trabajó en remoto cayó del 7,7% al 7,3%. No obstante, en el caso del teletrabajo ocasional, el porcentaje de hombres es mayor, del 5,8% frente al 5,6% de las mujeres.
Por franjas de edad, el teletrabajo sigue siendo más común entre la población de menos de 45 años. El grupo de entre 35 y 44 años es el que registró un porcentaje más elevado, del 8,6%, seguido por los trabajadores de entre 25 y 34 años, que alcanzaron el 8,2%. Mientras, el trabajo desde casa pero de modo ocasional se dio en mayor medida en las personas en la franja de edad de 45 a 54 años (6,5%), seguidas de las de 55 años en adelante (6,4%).
Por territorios, el teletrabajo habitual sigue siendo mayor en la Comunidad de Madrid, donde un 15% de personas realiza así su actividad laboral, casi el doble de la media nacional. Le acompaña también Cataluña por encima de la media, donde un 10% de los ocupados trabajó en remoto en el cuarto trimestre de 2021.
En el extremo contrario están la Comunidad Foral de Navarra, Cantabria y la Región de Murcia (5%) y Ceuta (2%). Durante 2021 se ha reducido en todas las comunidades el porcentaje de teletrabajo, con la excepción de Aragón, donde se mantuvo en un 6% y Melilla, donde creció hasta el 7,2%.
En cuanto a la opinión que los españoles tienen del teletrabajo, más de la mitad de los trabajadores aprecia sus beneficios. Así, hasta un 80% valora evitar los desplazamientos y los atascos y un 76% considera que favorece la conciliación de la vida familiar y personal.
Desde el punto de vista de las empresas, el 62% ve beneficios en esta forma de trabajar y un 66% destaca la reducción de costes como la principal ventaja.",empleo
